Number,Latitude,Longitude,Neighbourhood_name
1,38.7075,-9.198333,Ajuda
2,38.706389,-9.174167,Alcantara
54,38.746944,-9.136111,Alvalade
55,38.740278,-9.128056,Areeiro
56,38.728889,-9.138889,Arroios
57,38.738889,-9.145833,Avenidas Novas
7,38.734722,-9.105833,Beato
58,38.7,-9.2,Belem
8,38.751111,-9.202222,Benfica
59,38.715278,-9.166944,Campo de Ourique
10,38.726389,-9.163333,Campolide
11,38.760833,-9.183611,Carnide
60,38.713333,-9.16,Estrela
18,38.765278,-9.158611,Lumiar
21,38.745278,-9.104167,Marvila
61,38.711389,-9.148056,Misericordia
33,38.773611,-9.1175,Olivais
62,38.768056,-9.093889,Parque das nacoes
63,38.73,-9.131667,Penha de Franca
64,38.785278,-9.145,Santa Clara
65,38.712778,-9.135556,Santa Maria Maior
66,38.724167,-9.145,Santo Antonio
39,38.743611,-9.17,Sao Domingos de Benfica
67,38.719444,-9.126389,Sao Vicente
